ASCII Name;Population;LABEL EN;Classification
Urumita;8509;Colombia;Small City
Sotomayor;8703;Colombia;Small City
La Cruz;8751;Colombia;Small City
Alvarado;8796;Colombia;Small City
San Pedro;8801;Colombia;Small City
Entrerrios;8820;Colombia;Small City
Santa Rosa del Sur;8904;Colombia;Small City
Lebrija;8949;Colombia;Small City
San Bernardo del Viento;8967;Colombia;Small City
Linares;8974;Colombia;Small City
Iquira;9064;Colombia;Small City
Pueblo Nuevo;9075;Colombia;Small City
San Juan de Betulia;9092;Colombia;Small City
Palocabildo;9120;Colombia;Small City
Alcala;9135;Colombia;Small City
Calamar;9180;Colombia;Small City
Falan;9204;Colombia;Small City
Granada;9204;Colombia;Small City
Riofrio;9236;Colombia;Small City
Saldana;9237;Colombia;Small City
Landazuri;9238;Colombia;Small City
Cajamarca;9309;Colombia;Small City
Manaure Balcon del Cesar;9313;Colombia;Small City
Rosas;9336;Colombia;Small City
Bahia Solano;9400;Colombia;Small City
Sibundoy;9458;Colombia;Small City
San Agustin;9481;Colombia;Small City
Curillo;9539;Colombia;Small City
Usiacuri;9543;Colombia;Small City
Cunday;9544;Colombia;Small City
Restrepo;9545;Colombia;Small City
Zambrano;9565;Colombia;Small City
Bolivar;9567;Colombia;Small City
Vegachi;9618;Colombia;Small City
Filadelfia;9630;Colombia;Small City
Chinacota;9667;Colombia;Small City
La Primavera;9690;Colombia;Small City
Belalcazar;9690;Colombia;Small City
Manaure;9703;Colombia;Small City
Margarita;9720;Colombia;Small City
Amalfi;9733;Colombia;Small City
Hacari;9745;Colombia;Small City
Mesetas;9751;Colombia;Small City
Sasaima;9807;Colombia;Small City
Olaya Herrera;9820;Colombia;Small City
Aranzazu;9854;Colombia;Small City
Coello;9887;Colombia;Small City
Palermo;9896;Colombia;Small City
Condoto;9897;Colombia;Small City
La Sierra;9935;Colombia;Small City
Arauquita;9950;Colombia;Small City
Valle del Guamuez;9969;Colombia;Small City
Algarrobo;10042;Colombia;Small City
Saladoblanco;10076;Colombia;Small City
Mogotes;10165;Colombia;Small City
La Calera;10175;Colombia;Small City
Potosi;10186;Colombia;Small City
Mosquera;10203;Colombia;Small City
Turbana;10235;Colombia;Small City
Tello;10273;Colombia;Small City
Venecia;10280;Colombia;Small City
Caparrapi;10301;Colombia;Small City
Solano;10331;Colombia;Small City
Ebejico;10338;Colombia;Small City
Suan;10381;Colombia;Small City
Sandona;10401;Colombia;Small City
Palestina;10454;Colombia;Small City
Nilo;10555;Colombia;Small City
Lejanias;10576;Colombia;Small City
Yacuanquer;10579;Colombia;Small City
San Alberto;10627;Colombia;Small City
Valencia;10652;Colombia;Small City
Agua de Dios;10742;Colombia;Small City
Ricaurte;10788;Colombia;Small City
Algeciras;10792;Colombia;Small City
Icononzo;10801;Colombia;Small City
Abrego;10822;Colombia;Small City
Necocli;10835;Colombia;Small City
Yacopi;10887;Colombia;Small City
Soata;10945;Colombia;Small City
Obando;10970;Colombia;Small City
Gaitania;11000;Colombia;Small City
